date,ssm
2015-04-1 00:00:00,60.12758876463671
2015-05-1 00:00:00,63.08184174175383
2015-06-1 00:00:00,47.41604474056261
2015-07-1 00:00:00,122.8188719255722
2015-08-1 00:00:00,113.09058694510585
2015-09-1 00:00:00,131.6991122957779
2015-10-1 00:00:00,140.08080093021857
2015-11-1 00:00:00,164.06986278733137
2015-12-1 00:00:00,147.46393940180704
2016-01-1 00:00:00,188.976174590664
2016-02-1 00:00:00,131.26277612535236
2016-03-1 00:00:00,53.111383367566404
2016-04-1 00:00:00,44.155742236823194
2016-05-1 00:00:00,37.052146008695146
2016-06-1 00:00:00,34.81292008790253
2016-07-1 00:00:00,81.90872047899285
2016-08-1 00:00:00,159.4959836849143
2016-09-1 00:00:00,128.20273272321572
2016-10-1 00:00:00,104.38418758588553
2016-11-1 00:00:00,110.95671631465639
2016-12-1 00:00:00,164.57079213917493
2017-01-1 00:00:00,225.31712424162924
2017-02-1 00:00:00,191.73823111017634
2017-03-1 00:00:00,131.5431721072215
2017-04-1 00:00:00,45.70224236075184
2017-05-1 00:00:00,34.18097365951783
2017-06-1 00:00:00,31.65685195834584
2017-07-1 00:00:00,128.8690714404096
2017-08-1 00:00:00,136.49257232193165
2017-09-1 00:00:00,72.52418927362442
2017-10-1 00:00:00,43.988386197378034
2017-11-1 00:00:00,37.36833418467731
2017-12-1 00:00:00,44.75160983597055
2018-01-1 00:00:00,73.71279152525337
2018-02-1 00:00:00,101.76507031536003
2018-03-1 00:00:00,89.36114215427713
2018-04-1 00:00:00,36.54160586612157
2018-05-1 00:00:00,27.69556017188197
2018-06-1 00:00:00,28.503066267235493
2018-07-1 00:00:00,103.64537824594765
2018-08-1 00:00:00,102.13692517264316
2018-09-1 00:00:00,68.46171052508741
2018-10-1 00:00:00,165.41251346880628
2018-11-1 00:00:00,98.95526825165574
2018-12-1 00:00:00,130.77267695981755
2019-01-1 00:00:00,177.99690171911578
2019-02-1 00:00:00,209.46804055562362
2019-03-1 00:00:00,175.87423099954293
2019-04-1 00:00:00,65.72661588768293
2019-05-1 00:00:00,53.037973930635324
2019-06-1 00:00:00,27.473328237351364
2019-07-1 00:00:00,32.77449749486214
2019-08-1 00:00:00,51.349530140736945
2019-09-1 00:00:00,69.04082897688181
2019-10-1 00:00:00,50.34860715082516
2019-11-1 00:00:00,107.1645763184343
2019-12-1 00:00:00,228.31730831636048
2020-01-1 00:00:00,195.86028059479233
2020-02-1 00:00:00,169.39984463275488
2020-03-1 00:00:00,181.4225366169016
2020-04-1 00:00:00,75.47954836291942
2020-05-1 00:00:00,29.160635165869223
2020-06-1 00:00:00,24.64082625631954
2020-07-1 00:00:00,33.59052398551994
2020-08-1 00:00:00,33.87106937340261
2020-09-1 00:00:00,34.69656312988025
2020-10-1 00:00:00,35.070056250830405
2020-11-1 00:00:00,58.481462004417814
2020-12-1 00:00:00,60.130762553367276
2021-01-1 00:00:00,78.44393543752787
2021-02-1 00:00:00,113.03030725995106
2021-03-1 00:00:00,73.88475510468862
2021-04-1 00:00:00,37.089627522631716
2021-05-1 00:00:00,26.570885738737935
2021-06-1 00:00:00,25.642084882669735
2021-07-1 00:00:00,73.62492015010318
