date,ET
2015-01-1 00:00:00,79.03158503811511
2015-02-1 00:00:00,79.84098526479323
2015-03-1 00:00:00,75.41343375337452
2015-04-1 00:00:00,60.701745730367975
2015-05-1 00:00:00,103.71942116275686
2015-06-1 00:00:00,103.5062790174513
2015-07-1 00:00:00,125.16356748049357
2015-08-1 00:00:00,124.65231865853568
2015-09-1 00:00:00,113.65760932063195
2015-10-1 00:00:00,71.1763855388596
2015-11-1 00:00:00,62.781555233293496
2015-12-1 00:00:00,68.78167207108584
2016-01-1 00:00:00,74.34130230074715
2016-02-1 00:00:00,52.41626809325459
2016-03-1 00:00:00,68.06355102232655
2016-04-1 00:00:00,90.14088103831938
2016-05-1 00:00:00,71.94893405431549
2016-06-1 00:00:00,80.97148687963644
2016-07-1 00:00:00,99.34432811153373
2016-08-1 00:00:00,134.52891428607154
2016-09-1 00:00:00,101.11702423434849
2016-10-1 00:00:00,69.21284440795935
2016-11-1 00:00:00,45.9298311368138
2016-12-1 00:00:00,77.60357083176358
2017-01-1 00:00:00,92.11845673248858
2017-02-1 00:00:00,92.89206875204343
2017-03-1 00:00:00,82.82797302939036
2017-04-1 00:00:00,63.94092165475307
2017-05-1 00:00:00,110.25366222429905
2017-06-1 00:00:00,73.94032075192764
2017-07-1 00:00:00,118.5926378821477
2017-08-1 00:00:00,141.75790028588096
2017-09-1 00:00:00,108.8350953537009
2017-10-1 00:00:00,45.44004750847661
2017-11-1 00:00:00,47.794482187696744
2017-12-1 00:00:00,39.14124869972942
2018-01-1 00:00:00,46.42621303166001
2018-02-1 00:00:00,70.50014144177806
2018-03-1 00:00:00,66.0893972652243
2018-04-1 00:00:00,41.74269758599869
2018-05-1 00:00:00,63.483018175006166
2018-06-1 00:00:00,42.96481539167161
2018-07-1 00:00:00,93.87292123568878
2018-08-1 00:00:00,123.16669061307654
2018-09-1 00:00:00,109.80865490042763
2018-10-1 00:00:00,82.74581799082492
2018-11-1 00:00:00,52.38731680416822
2018-12-1 00:00:00,59.80140961381607
2019-01-1 00:00:00,82.87655339562575
2019-02-1 00:00:00,101.4352244235577
2019-03-1 00:00:00,95.09374355922924
2019-04-1 00:00:00,74.89480021081435
2019-05-1 00:00:00,120.0048525974491
2019-06-1 00:00:00,99.54341090019004
2019-07-1 00:00:00,115.05397513611538
2019-08-1 00:00:00,126.83077486351014
2019-09-1 00:00:00,125.94034250134442
2019-10-1 00:00:00,52.551473278757896
2019-11-1 00:00:00,66.1079315219977
2019-12-1 00:00:00,76.26515753305533
2020-01-1 00:00:00,73.91398607230141
2020-02-1 00:00:00,82.06262142779042
2020-03-1 00:00:00,121.19329295479106
2020-04-1 00:00:00,111.39358921758897
2020-05-1 00:00:00,89.42179632311002
2020-06-1 00:00:00,106.73040842967572
2020-07-1 00:00:00,96.7505889022227
2020-08-1 00:00:00,96.21262484311939
2020-09-1 00:00:00,78.40510115324638
2020-10-1 00:00:00,57.258429198835486
2020-11-1 00:00:00,36.92515476719599
2020-12-1 00:00:00,44.4280126784007
2021-01-1 00:00:00,63.45210178630791
2021-02-1 00:00:00,56.98202288151223
2021-03-1 00:00:00,78.37987016126857
2021-04-1 00:00:00,53.7242062511829
2021-05-1 00:00:00,74.22595824106776
2021-06-1 00:00:00,52.71676357803304
2021-07-1 00:00:00,137.98000777977603
