,millis,ssm,system:index,date
61,1443787200000,84.8551669786458,NASA_USDA_SMAP_SM20151002_20151004,2015-10-02 12:00:00
62,1444046400000,177.84034934762278,NASA_USDA_SMAP_SM20151005_20151007,2015-10-05 12:00:00
63,1444305600000,134.31170440960537,NASA_USDA_SMAP_SM20151008_20151010,2015-10-08 12:00:00
64,1444564800000,114.99326152073185,NASA_USDA_SMAP_SM20151011_20151013,2015-10-11 12:00:00
65,1444824000000,103.0525323342078,NASA_USDA_SMAP_SM20151014_20151016,2015-10-14 12:00:00
66,1445083200000,146.2253817009017,NASA_USDA_SMAP_SM20151017_20151019,2015-10-17 12:00:00
67,1445342400000,185.8645074377334,NASA_USDA_SMAP_SM20151020_20151022,2015-10-20 12:00:00
68,1445601600000,149.23883464819355,NASA_USDA_SMAP_SM20151023_20151025,2015-10-23 12:00:00
69,1445860800000,137.28329809435863,NASA_USDA_SMAP_SM20151026_20151028,2015-10-26 12:00:00
70,1446120000000,167.14297283018513,NASA_USDA_SMAP_SM20151029_20151031,2015-10-29 12:00:00
71,1446379200000,146.0557247442512,NASA_USDA_SMAP_SM20151101_20151103,2015-11-01 12:00:00
72,1446638400000,204.63705341037402,NASA_USDA_SMAP_SM20151104_20151106,2015-11-04 12:00:00
73,1446897600000,169.20773454745793,NASA_USDA_SMAP_SM20151107_20151109,2015-11-07 12:00:00
74,1447156800000,160.1611103262807,NASA_USDA_SMAP_SM20151110_20151112,2015-11-10 12:00:00
75,1447416000000,148.59721655381122,NASA_USDA_SMAP_SM20151113_20151115,2015-11-13 12:00:00
76,1447675200000,195.62748896053938,NASA_USDA_SMAP_SM20151116_20151118,2015-11-16 12:00:00
77,1447934400000,165.54006893966803,NASA_USDA_SMAP_SM20151119_20151121,2015-11-19 12:00:00
78,1448193600000,156.88416129789252,NASA_USDA_SMAP_SM20151122_20151124,2015-11-22 12:00:00
79,1448452800000,151.28336155564358,NASA_USDA_SMAP_SM20151125_20151127,2015-11-25 12:00:00
80,1448712000000,142.7047075373953,NASA_USDA_SMAP_SM20151128_20151130,2015-11-28 12:00:00
81,1448971200000,128.2180975093698,NASA_USDA_SMAP_SM20151201_20151203,2015-12-01 12:00:00
82,1449230400000,120.5628647272364,NASA_USDA_SMAP_SM20151204_20151206,2015-12-04 12:00:00
83,1449489600000,110.93153087373798,NASA_USDA_SMAP_SM20151207_20151209,2015-12-07 12:00:00
84,1449748800000,139.39359557164994,NASA_USDA_SMAP_SM20151210_20151212,2015-12-10 12:00:00
85,1450008000000,168.48590314820876,NASA_USDA_SMAP_SM20151213_20151215,2015-12-13 12:00:00
86,1450267200000,148.5368066920892,NASA_USDA_SMAP_SM20151216_20151218,2015-12-16 12:00:00
87,1450526400000,143.03911839182902,NASA_USDA_SMAP_SM20151219_20151221,2015-12-19 12:00:00
88,1450785600000,171.76039341564635,NASA_USDA_SMAP_SM20151222_20151224,2015-12-22 12:00:00
89,1451044800000,177.5616399120856,NASA_USDA_SMAP_SM20151225_20151227,2015-12-25 12:00:00
90,1451304000000,164.52396433006,NASA_USDA_SMAP_SM20151228_20151230,2015-12-28 12:00:00
91,1451563200000,149.08941884796477,NASA_USDA_SMAP_SM20151231_20160102,2015-12-31 12:00:00
92,1451822400000,158.29964435534615,NASA_USDA_SMAP_SM20160103_20160105,2016-01-03 12:00:00
93,1452081600000,247.14717655529194,NASA_USDA_SMAP_SM20160106_20160108,2016-01-06 12:00:00
94,1452340800000,217.8232825256956,NASA_USDA_SMAP_SM20160109_20160111,2016-01-09 12:00:00
95,1452600000000,207.54792878829724,NASA_USDA_SMAP_SM20160112_20160114,2016-01-12 12:00:00
96,1452859200000,201.30386668547592,NASA_USDA_SMAP_SM20160115_20160117,2016-01-15 12:00:00
97,1453118400000,187.39172552716,NASA_USDA_SMAP_SM20160118_20160120,2016-01-18 12:00:00
98,1453377600000,177.17349752771506,NASA_USDA_SMAP_SM20160121_20160123,2016-01-21 12:00:00
99,1453636800000,165.15249496520997,NASA_USDA_SMAP_SM20160124_20160126,2016-01-24 12:00:00
100,1453896000000,151.45557703006145,NASA_USDA_SMAP_SM20160127_20160129,2016-01-27 12:00:00
101,1454155200000,176.46655194638655,NASA_USDA_SMAP_SM20160130_20160201,2016-01-30 12:00:00
102,1454414400000,191.7715888030418,NASA_USDA_SMAP_SM20160202_20160204,2016-02-02 12:00:00
103,1454673600000,173.75019453449843,NASA_USDA_SMAP_SM20160205_20160207,2016-02-05 12:00:00
104,1454932800000,155.2440561342627,NASA_USDA_SMAP_SM20160208_20160210,2016-02-08 12:00:00
105,1455192000000,143.00470746904367,NASA_USDA_SMAP_SM20160211_20160213,2016-02-11 12:00:00
106,1455451200000,132.61664851070572,NASA_USDA_SMAP_SM20160214_20160216,2016-02-14 12:00:00
107,1455710400000,122.8815068595594,NASA_USDA_SMAP_SM20160217_20160219,2016-02-17 12:00:00
108,1455969600000,112.75463169742206,NASA_USDA_SMAP_SM20160220_20160222,2016-02-20 12:00:00
109,1456228800000,103.87240424713701,NASA_USDA_SMAP_SM20160223_20160225,2016-02-23 12:00:00
110,1456488000000,92.55549074406446,NASA_USDA_SMAP_SM20160226_20160228,2016-02-26 12:00:00
111,1456747200000,84.17653225378842,NASA_USDA_SMAP_SM20160229_20160302,2016-02-29 12:00:00
112,1457006400000,75.54884746959662,NASA_USDA_SMAP_SM20160303_20160305,2016-03-03 12:00:00
113,1457265600000,71.17697291879661,NASA_USDA_SMAP_SM20160306_20160308,2016-03-06 12:00:00
114,1457524800000,63.96320185564252,NASA_USDA_SMAP_SM20160309_20160311,2016-03-09 12:00:00
115,1457784000000,56.75455905499111,NASA_USDA_SMAP_SM20160312_20160314,2016-03-12 12:00:00
116,1458043200000,51.42611505935017,NASA_USDA_SMAP_SM20160315_20160317,2016-03-15 12:00:00
117,1458302400000,46.34656687775608,NASA_USDA_SMAP_SM20160318_20160320,2016-03-18 12:00:00
118,1458561600000,42.695338464449556,NASA_USDA_SMAP_SM20160321_20160323,2016-03-21 12:00:00
119,1458820800000,39.73978256858751,NASA_USDA_SMAP_SM20160324_20160326,2016-03-24 12:00:00
120,1459080000000,41.62560743602864,NASA_USDA_SMAP_SM20160327_20160329,2016-03-27 12:00:00
121,1459339200000,41.83684197046528,NASA_USDA_SMAP_SM20160330_20160401,2016-03-30 12:00:00
122,1459598400000,36.65373684418235,NASA_USDA_SMAP_SM20160402_20160404,2016-04-02 12:00:00
123,1459857600000,33.424695361012155,NASA_USDA_SMAP_SM20160405_20160407,2016-04-05 12:00:00
124,1460116800000,62.46201916992907,NASA_USDA_SMAP_SM20160408_20160410,2016-04-08 12:00:00
